claim_id,stable_id,owner,branch,task,claimed_at,expires_at,pr,active
PILOT-BB9070,FUN_00BB9070,coordinator,pilot/bb9070-accessors,pilot accessor recovery,2026-09-06T17:38:00Z,,,true
PILOT-BB9080,FUN_00BB9080,coordinator,pilot/bb9070-accessors,pilot accessor recovery,2026-09-06T17:38:00Z,,,true
PILOT-BB9090,FUN_00BB9090,coordinator,pilot/bb9070-accessors,pilot accessor recovery,2026-09-06T17:38:00Z,,,true
PILOT-BB90C0-CONTINUED,FUN_00BB90C0,coordinator,pilot/bb90c0-membership-continued,pilot linked-chain membership recovery,2026-09-07T19:36:02Z,,,true
SEQ-00401000,FUN_00401000,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401010,FUN_00401010,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-004010F0,FUN_004010F0,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-004011B0,FUN_004011B0,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-004011F0,FUN_004011F0,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401200,FUN_00401200,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401210,FUN_00401210,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401220,FUN_00401220,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401230,FUN_00401230,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401240,FUN_00401240,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401250,FUN_00401250,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401260,FUN_00401260,coordinator,decomp/00401000-sequential-pass-001,sequential decomp pass 001,2026-09-07T19:50:00Z,,,true
SEQ-00401270,FUN_00401270,coordinator,decomp/00401270-sequential,sequential decomp of achievement-write loop,2026-09-07T19:50:00Z,,,true
SEQ-004012F0,FUN_004012F0,coordinator,decomp/004012f0-sequential,sequential decomp of XLive achievement enumeration wrapper,2026-09-08T18:43:51Z,,,true
SEQ-00401400,FUN_00401400,coordinator,decomp/004013b0-sequential,sequential decomp of thiscall field equality helper,2026-09-10T09:47:44Z,,,true
SEQ-00401410,FUN_00401410,coordinator,decomp/00401410-sequential,sequential decomp of conditional virtual dispatch helper,2026-09-10T10:05:00Z,,,true
SEQ-00401470,FUN_00401470,coordinator,decomp/00401470-sequential,sequential decomp of provider value query helper,2026-09-10T10:13:28Z,,,true
