index,name,rva,size,present
0,EXPORT,0x00000000,0,false
1,IMPORT,0x011648E4,440,true
2,RESOURCE,0x01364000,758528,true
3,EXCEPTION,0x00000000,0,false
4,SECURITY,0x00000000,0,false
5,BASERELOC,0x00000000,0,false
6,DEBUG,0x00F79FD0,28,true
7,ARCHITECTURE,0x00000000,0,false
8,GLOBALPTR,0x00000000,0,false
9,TLS,0x00000000,0,false
10,LOAD_CONFIG,0x0115A558,64,true
11,BOUND_IMPORT,0x00000000,0,false
12,IAT,0x00F71000,1588,true
13,DELAY_IMPORT,0x00000000,0,false
14,COM_DESCRIPTOR,0x00000000,0,false
15,RESERVED,0x00000000,0,false
