symbol,kind,parameters,size,direct_calls
FUN_0041D870,flag,224;4;4294967291,27,
FUN_0041D8C0,flag,224;8192;4294959103,33,0x422227
FUN_00464EB0,flag,60;1;4294967294,21,
FUN_004D8DA0,flag,28;4;4294967291,21,
FUN_004E1770,array,12;24,23,0x5eff36
FUN_004E18B0,array,100;112,23,0x4e36d3;0x4e371a;0x5efb6b;0x5efddc;0x5efdf4;0x5efeb4
FUN_005319E0,array,36;48,23,0x409f35;0x444359;0x4559b5;0x51ac59;0x51bb56;0x52e5e1;0x71affb;0x71b014;0x94d561;0x971302;0x971701;0x9733c1;0xb05917;0xb87463;0xb87538;0xb875f5;0xb87827
FUN_005394E0,array,16;28,23,
FUN_00539540,array,20;32,23,0x581cf6
FUN_00539590,array,40;52,23,0x581bc3
FUN_00539660,array,112;124,23,
FUN_005396B0,array,132;144,29,
FUN_0053BFA0,array,16;28,23,0x58dba2;0x58e4dd;0xa4c367;0xa4c413
FUN_0053C020,array,12;24,23,0x58e6ca
FUN_0053CCB0,array,56;60,23,
FUN_00548660,array,100;112,23,0x532e7d;0x5f306f;0x5f4b67;0x5f4ec4;0x5f51ef;0x5f56d0;0x5f599b;0x5f59eb;0x5f6061;0x5f7804;0x5f7b5a;0x5f7c2d;0x5f7dd3;0x5f80ad;0x6014fa
FUN_00564FC0,flag,16;2;4294967293,21,
FUN_00564FE0,flag,16;1;4294967294,21,
FUN_0057D810,array,856;868,29,
FUN_00590700,array,1000;1012,29,
FUN_00593560,array,1204;1216,29,
FUN_00594C10,array,16;28,23,
FUN_00594CC0,array,16;28,23,
FUN_005B0A30,array,1300;1312,29,
FUN_005B0B10,array,1320;1332,29,
FUN_005E1150,array,852;864,29,
FUN_005F1790,array,888;900,29,
FUN_0060CEC0,array,16;28,23,
FUN_0060CF70,array,16;28,23,
FUN_00653DA0,flag,224;2;4294967293,27,
FUN_00653DD0,flag,224;16;4294967279,27,
FUN_0065FBB0,flag,4;1024;4294966271,27,
FUN_0065FBD0,flag,4;2048;4294965247,27,0x4f9239;0x4f924f;0x4fb6b0;0x4fb6c3;0x4fb6d7;0x4fb6eb;0x4fb701;0x1094554
FUN_00730A90,flag,7268;32;4294967263,27,
FUN_008A7720,flag,4;16384;4294950911,27,0xd98949;0xd9a770
FUN_008E6FE0,flag,6316;512;4294966783,33,
FUN_00962E40,array,7164;7176,29,0x962e8e;0x962e9d
FUN_009AC6D0,flag,4;1024;4294966271,27,0x690249;0x962c3b;0x96470a
FUN_009AC6F0,flag,4;2048;4294965247,27,0x8209d9;0x8d141e;0x91d719;0x929772;0x92be6c;0x940279;0x947372;0x94820c;0x960614;0x962bab;0x9646be;0x964899;0x9d9f49;0x9fc2f9;0x9ff509;0x9ff6c9;0x9ffa89;0xa002e9
FUN_00A3A300,array,12;24,23,0x53b5f5;0x57c143;0x57ece3;0x5809a7;0x580d13;0x580d84;0x580dc3;0x581843;0x5847bd;0x5848d6;0x589d43;0xaace43
FUN_00A3A350,array,32;44,23,0x53b503;0x580a6a;0x581683;0x5833f7;0x584b2f;0x5866d1;0x5866e0;0x5884bf;0x588523;0x5885d3;0x588b12;0x58a34a;0xaacda6
FUN_00A3A390,array,52;64,23,0x584bea
FUN_00A3A3B0,array,72;84,23,0x584ca8
FUN_00A3A400,array,12;24,23,0x53b353;0x57bfa8;0x57bff1;0x57c032;0x57c081;0x57c5ca;0x57e1a3;0x57f199;0x57f4a0;0x580887;0x58097d;0x581037;0x581347;0x584750;0x585101;0x5851ac;0x585247;0x585ee9;0xaacd85
FUN_00A3A450,array,32;44,23,0x53b3c6
FUN_00A3E210,array,20;32,23,0x5823b9
FUN_00A3E290,array,40;52,23,0x58060d;0x582862;0x5875e1
FUN_00A505E0,array,20;32,23,0x5a8573
FUN_00B94110,array,24;36,23,0x8d429a;0x8e165f;0x8e194a;0x8eb014;0x8eb437;0x9067ff;0x90691f;0x94bc63
FUN_00B94140,array,44;56,23,
FUN_00B94170,array,64;76,23,0x8e2e65
FUN_00BA7030,array,108;120,23,0xbb4d7d
FUN_00D30A40,flag,28;8;4294967287,21,
FUN_00D9B8D0,flag,32;1;4294967294,21,
FUN_00D9B900,flag,32;2;4294967293,21,
FUN_00D9B930,flag,32;4;4294967291,21,
FUN_00D9B960,flag,32;8;4294967287,21,
FUN_00D9B9C0,flag,32;256;4294967039,27,
FUN_00D9B9F0,flag,32;512;4294966783,27,
FUN_00D9BA20,flag,32;1024;4294966271,27,
FUN_00D9BA50,flag,32;2048;4294965247,27,
FUN_00D9FDD0,flag,32;16;4294967279,21,0x40f106
FUN_00D9FDF0,flag,32;64;4294967231,21,
FUN_00D9FE10,flag,32;32;4294967263,21,
FUN_00E00100,array,4;16,23,
FUN_00EA2E40,flag,224;256;4294967039,33,0x1094685
FUN_00EA2ED0,flag,224;512;4294966783,33,
FUN_00EA2F20,flag,224;4096;4294963199,33,
FUN_00EA2F70,flag,224;64;4294967231,27,
FUN_00EA33C0,flag,468;1;4294967294,27,
FUN_00F9CD40,array,56;52,23,
FUN_010295D0,flag,940;262144;4294705151,33,
FUN_01029610,flag,940;524288;4294443007,33,
FUN_01029650,flag,940;1048576;4293918719,33,
FUN_01029690,flag,940;2097152;4292870143,33,
FUN_0102B570,nested,932;936;108;128;196,46,
FUN_0102B7A0,nested,932;936;108;128;232,46,
FUN_0102B7D0,nested,932;936;108;128;236,46,
FUN_0102BBC0,nested,932;936;108;128;380,46,
FUN_0102BE20,nested,932;936;108;128;424,46,
FUN_0102C1A0,nested,932;936;108;128;532,46,
FUN_0102C340,nested,932;936;108;128;548,46,
FUN_0102C370,nested,932;936;108;128;552,46,
FUN_01031790,nested,932;936;108;128;1548,46,
FUN_010317C0,nested,932;936;108;128;1544,46,
FUN_01031B80,nested,932;936;108;128;1612,46,
FUN_01031EF0,nested,932;936;108;128;1672,46,
FUN_01031F20,nested,932;936;108;128;1676,46,
FUN_01031F50,nested,932;936;108;128;1680,46,0x1054a85
FUN_01031FE0,nested,932;936;108;128;1692,46,
FUN_01032010,nested,932;936;108;128;1696,46,
FUN_01032150,nested,932;936;108;128;1748,46,
FUN_01033570,nested,932;936;108;128;2124,46,
FUN_010338E0,nested,932;936;108;128;2200,46,
FUN_01033910,nested,932;936;108;128;2204,46,
FUN_01033940,nested,932;936;108;128;2208,46,
FUN_01033970,nested,932;936;108;128;2212,46,
FUN_010339A0,nested,932;936;108;128;2216,46,
FUN_010339D0,nested,932;936;108;128;2220,46,
FUN_01033A00,nested,932;936;108;128;2224,46,
FUN_01033A30,nested,932;936;108;128;2228,46,
FUN_01033A60,nested,932;936;108;128;2232,46,
FUN_01033E00,nested,932;936;108;128;2320,46,
FUN_01033E30,nested,932;936;108;128;2324,46,
FUN_010347A0,nested,932;936;108;128;2468,46,
FUN_01035200,nested,932;936;108;128;2784,46,
FUN_01035230,nested,932;936;108;128;2788,46,
FUN_01035290,nested,932;936;108;128;2796,46,
FUN_01043FB0,nested,932;936;108;128;8236,46,
FUN_01044440,nested,932;936;108;128;8320,46,
FUN_01044470,nested,932;936;108;128;8324,46,
FUN_010444A0,nested,932;936;108;128;8328,46,
FUN_010444D0,nested,932;936;108;128;8332,46,
FUN_01044730,nested,932;936;108;128;8352,46,
FUN_01044760,nested,932;936;108;128;8356,46,
FUN_0108AEB0,flag,124;1;4294967294,21,
FUN_0109D310,nested,912;916;108;152;112,43,
FUN_0109D340,nested,912;916;108;152;116,43,
