symbol,kind,parameters
FUN_00D2D2C0,S32,20;16;4368;24
FUN_00D2D2E0,PAIR,28;32;20;16;16
FUN_00D2D3F0,S32,20;16;8736;24
FUN_00D2D430,PAIR,28;32;20;16;32
FUN_00D2D4D0,S32,52;48;4368;56
FUN_00D2D4F0,S32,116;112;8736;120
FUN_00D2D580,S32,20;16;8;28
FUN_00D2D5A0,S32,20;16;16;32
FUN_00D2D640,S32,20;16;1;80
FUN_00D2D660,S32,20;16;1;84
FUN_00D3CB70,S8,20;16;18;116
FUN_00D3CBC0,S32,20;16;18;124
FUN_00D3CC40,S8,20;16;528386;36
FUN_00D3CC80,S8,20;16;524322;39
FUN_00D3CCB0,S32,20;16;34;40
FUN_00D3CDD0,SHIFT,20;16;32;144;4;240
FUN_00D3CE00,S32,20;16;32;148
FUN_00D3CE60,SHIFT,20;16;524322;144;8;3840
FUN_00D3CFE0,PAIR,176;180;20;16;34
FUN_00D3D020,S32,20;16;34;184
FUN_00D3D050,S32,20;16;34;188
FUN_00D3D080,SHIFT,20;16;34;144;12;61440
FUN_00D3D0D0,COPY,20;16;34;192
FUN_00D3D290,COPY,20;16;32;308
FUN_00D3D320,S8,20;16;528386;328
FUN_00D3D350,S8,20;16;32;329
FUN_00D3D380,S8,20;16;34;330
FUN_00D3D3B0,S8,20;16;34;331
FUN_00D3D3E0,S32,20;16;32;332
FUN_00D3D460,PAIR,344;348;20;16;32
FUN_00D3D490,PAIR,352;356;20;16;32
FUN_00D3D4C0,PAIR,360;364;20;16;32
FUN_00D3D4F0,PAIR,368;372;20;16;32
FUN_00D3D630,PAIR,384;388;20;16;32
FUN_00D3D660,PAIR,392;396;20;16;32
FUN_00D3D690,PAIR,400;404;20;16;32
FUN_00D3D820,S32,20;16;32;484
FUN_00D3D850,SHIFT,20;16;524322;480;4;240
FUN_00D3D890,S8,20;16;524322;488
FUN_00D3D8C0,S8,20;16;34;489
FUN_00D3D8F0,S8,20;16;34;490
FUN_00D3D930,S16,20;16;34;494
FUN_00D3D960,S32,20;16;34;496
FUN_00D3D9B0,S16,20;16;34;508
FUN_00D3D9E0,S16,20;16;34;510
FUN_00D3DA10,S32,20;16;34;512
FUN_00D3DA50,COPY,20;16;32;516
FUN_00D3DAB0,S8,20;16;66;33
FUN_00D3DAE0,S8,20;16;66;34
FUN_00D3DB30,S32,20;16;66;44
FUN_00D3DB50,S32,20;16;66;40
