call_va,target_va
0x004F5233,0x00FA8ED0
0x004F92BD,0x00FA8ED0
0x004F930E,0x00FA8ED0
0x00F72DD0,0x00F75CA0
0x00F72E00,0x00F75CB0
0x00F72E30,0x00D9FDA0
0x00F72E60,0x0114E1B0
0x00F72F20,0x00F75CA0
0x00F72F35,0x00F75CB0
0x00F72F4A,0x00D9FDA0
0x00F72F5F,0x0114E1B0
0x00F72F9A,0x00D9FDB0
0x00F72FAF,0x00F75CC0
0x00F72FC4,0x00F75CD0
0x00F73070,0x00D9FDB0
0x00F730A0,0x00F75CC0
0x00F730D0,0x00F75CD0
0x010DFC27,0x01164D10
0x010DFC4A,0x01164D10
0x010DFCAF,0x01164D10
0x010DFCC4,0x01164D10
0x010DFDB2,0x01164D10
0x010DFDD3,0x01164D10
0x010DFDF4,0x01164D10
0x010DFE79,0x01164D10
0x010DFE8E,0x01164D10
0x0115CD01,0x01164D10
0x0115CD10,0x01164D10
0x0115CD1F,0x01164D10
0x0115ECA6,0x01164D10
0x0115ECB6,0x01164D10
0x0115ECC6,0x01164D10
0x0115EDE4,0x01164D10
0x0115EDF4,0x01164D10
0x0115EE04,0x01164D10
0x0115FAB7,0x01164D10
0x0115FB1A,0x01164D10
0x01164255,0x01164D10
0x01164265,0x01164D10
0x01164275,0x01164D10
0x01184850,0x01164D10
